time,value,original_time,day_number,time_index,moving_average,fluctuation
1,2492798.18037,2010.0,11,1,2658933.730235,-166135.54986499995
2,2778071.95779,2011.0,11,2,2879213.679648,-101141.72185799992
3,2341209.84833,2012.0,11,3,2563524.3244350003,-222314.47610500036
4,2246053.97207,2013.0,11,4,2512801.5723869996,-266747.6003169995
5,2407676.30417,2014.0,11,5,2364027.164003,43649.14016699977
6,2155565.84873,2015.0,11,6,2376817.4555610004,-221251.6068310002
7,2171321.76929,2016.0,11,7,2060253.2706040007,111068.49868599954
8,1984211.29466,2017.0,11,8,1912307.401961,71903.89269899996
9,1573666.50828,2018.0,11,9,1930837.6004334998,-357171.09215349983
10,1500964.87092,2019.0,11,10,1882770.8014255003,-381805.9305055004
11,1394750.15062,2020.0,11,11,1776204.714384,-381454.5637640001
12,1504872.45705,2021.0,11,12,1694908.4611004503,-190036.00405045017
13,1677191.81386,2022.0,11,13,1565037.6723449999,112154.14151500026
14,1375878.43397,2023.0,11,14,1585596.2436534998,-209717.80968349986
15,1111902.83664,2024.0,11,15,1390137.6104131497,-278234.7737731496
16,1094338.36414,2025.0,11,16,1390076.8611130998,-295738.4969730999
17,1019664.29443,2026.0,11,17,1328206.2702691,-308541.9758391001
18,1101235.27805,2027.0,11,18,1254306.1264756504,-153070.84842565027
19,1033571.89417,2028.0,11,19,1183057.4745649497,-149485.58039494976
20,968881.086804,2029.0,11,20,1217346.0628277499,-248464.9760237499
21,926238.545449,2030.0,11,21,1109676.14085795,-183437.59540895012
22,1098865.36,2031.0,11,22,1166212.6256789002,-67347.26567890006
23,998481.157728,2032.0,11,23,1157093.3588448,-158612.20111679996
24,912248.790126,2033.0,11,24,1217157.2212782998,-304908.43115229986
25,953296.23372,2034.0,11,25,1164876.93010825,-211580.69638824987
26,977424.688563,2035.0,11,26,1199687.51699135,-222262.82842835016
27,968059.076214,2036.0,11,27,1348875.1963929501,-380816.12017895014
28,1120291.43541,2037.0,11,28,1361182.8817983998,-240891.44638839993
29,1076125.03554,2038.0,11,29,1496471.4226395,-420346.3870994998
30,1178137.73473,2039.0,11,30,1362501.5005912003,-184363.7658612004
31,1266959.05466,2040.0,11,31,1458322.4215145,-191363.36685450003
32,1249641.6423,2041.0,11,32,1476139.29640635,-226497.65410635015
33,3378282.09728,2042.0,11,33,1645599.5164045,1732682.5808754999
34,3035136.25374,2043.0,11,34,1778775.5780244998,1256360.6757155003
35,1708750.99618,2044.0,11,35,1861830.8658974997,-153079.8697174997
36,1777640.12562,2045.0,11,36,2020759.218308,-243119.09268799983
37,2496227.09022,2046.0,11,37,2630869.3411709997,-134642.25095099956
38,3787302.46764,2047.0,11,38,3416632.4089705,370670.05866950005
39,2099814.30313,2148.0,12,1,2648193.2841475,-548378.9810175002
40,2931265.57102,2149.0,12,2,2843384.4422425,87881.12877750024
41,2071182.19188,2150.0,12,3,2552694.2080345005,-481512.0161545004
42,2230532.73413,2151.0,12,4,2479636.149774,-249103.41564399982
43,2004499.76639,2152.0,12,5,2352563.3972600005,-348063.63087000046
44,1791650.26007,2153.0,12,6,2344847.4902345003,-553197.2301645002
45,1715103.96536,2154.0,12,7,2047504.2080760002,-332400.2427160002
46,1394675.58963,2155.0,12,8,1904205.4103115003,-509529.82068150025
47,1932429.30069,2156.0,12,9,1906045.7733835005,26383.527306499425
48,2783183.6062,2157.0,12,10,1836305.3573135003,946878.2488864996
49,2244061.30764,2158.0,12,11,1685920.1817525,558141.1258874999
50,1679015.64515,2159.0,12,12,1642528.90902745,36486.73612254998
51,1674121.25374,2160.0,12,13,1517065.9521015,157055.30163850007
52,1413694.38479,2161.0,12,14,1565442.0228044996,-151747.63801449956
53,1327120.979,2162.0,12,15,1386443.77160415,-59322.79260415002
54,1297095.76997,2163.0,12,16,1374157.7540660999,-77061.98409609986
55,1484755.02565,2164.0,12,17,1299185.7314116,185569.29423839995
56,1243885.31275,2165.0,12,18,1244473.31936615,-588.006616150029
57,1078002.38623,2166.0,12,19,1172546.5344364499,-94544.14820644981
58,1119597.14076,2167.0,12,20,1199368.16941895,-79771.02865895
59,1055199.26044,2168.0,12,21,1103580.4280078998,-48381.16756789968
60,999167.388663,2169.0,12,22,1157194.8839567502,-158027.4952937502
61,947171.68801,2170.0,12,23,1140215.4326248998,-193043.74461489974
62,955439.176768,2171.0,12,24,1199143.5128593,-243704.3360913
63,1060706.6744,2172.0,12,25,1145746.7811347,-85040.10673470004
64,1066103.88102,2173.0,12,26,1182979.3307255,-116875.44970549992
65,1221812.46011,2174.0,12,27,1326074.8482086498,-104262.38809864968
66,1551268.94083,2175.0,12,28,1330362.9482634,220905.99256659998
67,1327094.69973,2176.0,12,29,1476285.0670869998,-149190.36735699978
68,1216274.11974,2177.0,12,30,1340801.5657947003,-124527.4460547003
69,1553621.385,2178.0,12,31,1428999.383198,124622.00180199998
70,1636627.02685,2179.0,12,32,1443230.4615633502,193396.56528664986
71,1470930.85589,2180.0,12,33,1734089.0363670003,-263158.1804770003
72,1649901.55526,2181.0,12,34,1819096.2209695005,-169194.66570950043
73,1776257.65158,2182.0,12,35,1842565.0517559997,-66307.40017599962
74,1887221.09494,2183.0,12,36,2013333.18475,-126112.08981000003
75,2557605.20263,2184.0,12,37,2587164.256542,-29559.0539119998
76,3312192.85194,2185.0,12,38,3363456.8050625,-51263.953122499865
77,2583696.59611,2375.0,13,1,2651878.0532795005,-68181.45716950065
78,3321517.88291,2376.0,13,2,2799440.8478220003,522077.0350879999
79,2495589.55985,2377.0,13,3,2495491.4146210006,98.14522899920121
80,3100423.39756,2378.0,13,4,2457403.3035465004,643020.0940134996
81,2015602.52762,2379.0,13,5,2363071.554304,-347469.0266839999
82,1924795.11871,2380.0,13,6,2310233.427193,-385438.3084829999
83,2560941.64545,2381.0,13,7,1969988.3188425,590953.3266075002
84,1972297.13974,2382.0,13,8,1873267.666147,99029.47359300009
85,2301973.9804,2383.0,13,9,1845487.4631529998,456486.517247
86,1783439.41097,2384.0,13,10,1871924.4731704998,-88485.0622004997
87,1775282.84784,2385.0,13,11,1704199.4731339999,71083.37470600009
88,2605352.91439,2386.0,13,12,1571382.44525795,1033970.4691320499
89,1803799.79696,2387.0,13,13,1501419.976445,302379.820515
90,1473132.20356,2388.0,13,14,1517798.036438,-44665.83287799987
91,1736254.31056,2389.0,13,15,1340856.5394116503,395397.7711483496
92,2003620.18611,2390.0,13,16,1288766.9440156,714853.2420943999
93,1845957.52183,2391.0,13,17,1245381.8969601002,600575.6248698998
94,1423471.7882,2392.0,13,18,1210461.2325436499,213010.55565635022
95,1113699.24499,2393.0,13,19,1182100.55508995,-68401.31009995006
96,1147731.67268,2394.0,13,20,1189990.96520895,-42259.29252894991
97,1331789.59939,2395.0,13,21,1080158.1800956498,251631.41929435031
98,1188525.95148,2396.0,13,22,1135065.4129093501,53460.53857064992
99,1081578.61124,2397.0,13,23,1110617.4350923998,-29038.82385239983
100,1117322.74724,2398.0,13,24,1160392.2227891,-43069.47554909997
101,1106634.85193,2399.0,13,25,1127639.1050431998,-21004.253113199957
102,1153015.49268,2400.0,13,26,1151381.7467935,1633.7458864999935
103,1236552.76465,2401.0,13,27,1329316.8182166498,-92764.05356664979
104,1565501.94464,2402.0,13,28,1310382.5310229,255119.41361709987
105,1465349.84185,2403.0,13,29,1457071.404285,8278.43756500003
106,1190531.95865,2404.0,13,30,1337159.5974702,-146627.6388202
107,1712336.58913,2405.0,13,31,1426141.0757785,286195.51335150003
108,1558442.53888,2406.0,13,32,1439116.75923685,119325.77964314981
109,1434830.25356,2407.0,13,33,1703825.8174575001,-268995.56389750005
110,1757909.87371,2408.0,13,34,1790157.2074845,-32247.33377450006
111,1724828.79485,2409.0,13,35,1823666.6342585,-98837.83940850012
112,1927904.35466,2410.0,13,36,1965426.1865335,-37521.83187350002
113,2314894.70471,2411.0,13,37,2553999.1286784997,-239104.42396849953
114,3079833.61225,2412.0,13,38,3347472.2464165003,-267638.63416650053
115,3631474.97707,2513.0,14,1,2563167.414051,1068307.563019
116,2560522.4891,2514.0,14,2,2818444.322121,-257921.83302100003
117,1771699.02617,2515.0,14,3,2485936.5636215,-714237.5374515001
118,3514546.63418,2516.0,14,4,2409451.0319405003,1105095.6022394998
119,2312955.22038,2517.0,14,5,2328942.5254960004,-15987.305116000585
120,3335958.76471,2518.0,14,6,2211408.1070435005,1124550.6576664993
121,1488111.21873,2519.0,14,7,1980240.301255,-492129.082525
122,1771818.21209,2520.0,14,8,1851867.3695154998,-80049.15742549975
123,1614510.8334,2521.0,14,9,1867129.510376,-252618.6769760002
124,1963586.8815,2522.0,14,10,1874789.0646325,88797.81686749985
125,1746937.44999,2523.0,14,11,1667378.49119785,79558.95879215002
126,1994256.92517,2524.0,14,12,1577862.4788557,416394.44631429994
127,1523979.43824,2525.0,14,13,1488383.4015315,35596.0367085
128,1615594.80958,2526.0,14,14,1503193.809343,112401.00023699994
129,1314592.31161,2527.0,14,15,1350581.90978875,-35989.59817875014
130,1415652.75289,2528.0,14,16,1302335.33193945,113317.42095054989
131,1312904.06963,2529.0,14,17,1244689.2335668,68214.83606320014
132,1140675.52729,2530.0,14,18,1195111.00670395,-54435.479413949884
133,1321829.24052,2531.0,14,19,1158037.87767,163791.36284999992
134,1180786.21483,2532.0,14,20,1167147.2122716,13639.002558399923
135,1163168.81883,2533.0,14,21,1080966.7584893499,82202.06034065015
136,1406125.84813,2534.0,14,22,1102048.51012745,304077.33800254995
137,1380121.23171,2535.0,14,23,1092607.5835888998,287513.64812110015
138,1346085.86691,2536.0,14,24,1132588.80139025,213497.06551975012
139,1318409.10953,2537.0,14,25,1104881.97170335,213527.13782664994
140,1169053.73635,2538.0,14,26,1135580.39215675,33473.34419324994
141,1144340.84867,2539.0,14,27,1315507.31066105,-171166.46199105005
142,1357523.46776,2540.0,14,28,1304815.85176555,52707.61599444994
143,1516144.67149,2541.0,14,29,1430056.7615795,86087.90991050005
