time,value,original_time,day_number,time_index,moving_average,fluctuation
1,0.420087834071,2010.0,11,1,0.42862406096095,-0.008536226889950038
2,0.431716554133,2011.0,11,2,0.4447298372832,-0.013013283150200006
3,0.471713368821,2012.0,11,3,0.4673374974116,0.0043758714093999895
4,0.518677651956,2013.0,11,4,0.47728210381440006,0.04139554814159996
5,0.492781812773,2014.0,11,5,0.48089186696800007,0.011889945804999913
6,0.488325330837,2015.0,11,6,0.47851804062935,0.009807290207650032
7,0.487949007704,2016.0,11,7,0.4728979062786499,0.0150511014253501
8,0.49499175248,2017.0,11,8,0.4947643754614,0.0002273770185999835
9,0.486009810291,2018.0,11,9,0.48948998689425005,-0.0034801766032500625
10,0.494424416909,2019.0,11,10,0.48654567763284995,0.00787873927615007
11,0.524384384709,2020.0,11,11,0.49048860786484993,0.033895776844150016
12,0.489691266603,2021.0,11,12,0.49787791675885007,-0.008186650155850073
13,0.461071952687,2022.0,11,13,0.4983159194654999,-0.03724396677849989
14,0.454561361538,2023.0,11,14,0.49728570393695,-0.04272434239895001
15,0.486393646712,2024.0,11,15,0.50215838517065,-0.015764738458650007
16,0.480940763568,2025.0,11,16,0.48750881854149997,-0.006568054973499993
17,0.503225505139,2026.0,11,17,0.508714915848,-0.005489410708999998
18,0.48464685602,2027.0,11,18,0.5037131300772499,-0.01906627405724992
19,0.496082113761,2028.0,11,19,0.50712434036435,-0.01104222660334997
20,0.484771028121,2029.0,11,20,0.5130656457691,-0.028294617648099984
21,0.458604352236,2030.0,11,21,0.5136418503125,-0.05503749807649999
22,0.499823410921,2031.0,11,22,0.5171291262277,-0.017305715306699998
23,0.508812781406,2032.0,11,23,0.5281890644324501,-0.019376283026450114
24,0.511852575142,2033.0,11,24,0.5203340693707001,-0.008481494228700148
25,0.506185628693,2034.0,11,25,0.518583555041,-0.012397926347999966
26,0.507451250308,2035.0,11,26,0.5294096409235001,-0.02195839061550009
27,0.520726488092,2036.0,11,27,0.53198404228555,-0.011257554193550012
28,0.531352473152,2037.0,11,28,0.5288679210389,0.002484552113099947
29,0.481603466907,2038.0,11,29,0.5108060809489,-0.0292026140419
30,0.500024683176,2039.0,11,30,0.51864622938105,-0.018621546205049966
31,0.530525782413,2040.0,11,31,0.5339342999471,-0.0034085175340999863
32,0.480275063631,2041.0,11,32,0.5507121867487499,-0.07043712311774991
33,0.512775667313,2042.0,11,33,0.5560383611981501,-0.04326269388515014
34,0.56018079281,2043.0,11,34,0.558503750628,0.0016770421820000436
35,0.551198630103,2044.0,11,35,0.5697606043744501,-0.01856197427145012
36,0.584401993921,2045.0,11,36,0.5800242640167999,0.004377729904200156
37,0.587308922338,2046.0,11,37,0.5995200347917,-0.01221111245369999
38,0.57430682082,2047.0,11,38,0.61425823438365,-0.03995141356365006
39,0.415101717195,2148.0,12,1,0.42945584505400003,-0.014354127859000032
40,0.433147167787,2149.0,12,2,0.44385239458645004,-0.010705226799450018
41,0.451147397207,2150.0,12,3,0.46891650778425,-0.017769110577250002
42,0.455597602957,2151.0,12,4,0.47943161584550004,-0.02383401288850001
43,0.464300492858,2152.0,12,5,0.4835064380686999,-0.019205945210699904
44,0.470860819809,2153.0,12,6,0.4811923205966999,-0.010331500787699899
45,0.449500226009,2154.0,12,7,0.47697172758979994,-0.027471501580799917
46,0.457638357077,2155.0,12,8,0.49529986477920007,-0.03766150770220006
47,0.455256694354,2156.0,12,9,0.49115207967284996,-0.03589538531884995
48,0.446938415163,2157.0,12,10,0.48827976062615,-0.04134134546314999
49,0.454629983728,2158.0,12,11,0.4922194476859,-0.03758946395789997
50,0.538233707934,2159.0,12,12,0.49435043948760005,0.0438832684464
51,0.500724181503,2160.0,12,13,0.4953374701959999,0.005386711307000136
52,0.48925328342,2161.0,12,14,0.49532234323965,-0.006069059819650002
53,0.51989232258,2162.0,12,15,0.49949969555365004,0.02039262702634992
54,0.518530909976,2163.0,12,16,0.4871731239912,0.031357785984800046
55,0.494014484254,2164.0,12,17,0.5049959509923501,-0.010981466738350043
56,0.492069689736,2165.0,12,18,0.5080983741338,-0.016028684397799975
57,0.500310781244,2166.0,12,19,0.5088418729445,-0.008531091700500038
58,0.542440605985,2167.0,12,20,0.5084358580213,0.03400474796370001
59,0.506759674165,2168.0,12,21,0.5121729718157499,-0.0054132976507499375
60,0.504202669341,2169.0,12,22,0.5185605373247,-0.014357867983699979
61,0.536293672197,2170.0,12,23,0.5264904118866001,0.009803260310399908
62,0.522109746392,2171.0,12,24,0.5212003907785501,0.0009093556134499581
63,0.516663328373,2172.0,12,25,0.5192045776934501,-0.0025412493204500786
64,0.515037681133,2173.0,12,26,0.5299780235784002,-0.014940342445400212
65,0.522010966466,2174.0,12,27,0.5324547281088001,-0.010443761642800142
66,0.517988184448,2175.0,12,28,0.5287968097313499,-0.010808625283349915
67,0.528588682667,2176.0,12,29,0.5081228567583,0.02046582590869994
68,0.562968241222,2177.0,12,30,0.5147016632915998,0.04826657793040012
69,0.538541525604,2178.0,12,31,0.5348887786158001,0.003652746988199951
70,0.530886678329,2179.0,12,32,0.5490016943324999,-0.01811501600349985
71,0.557120073913,2180.0,12,33,0.5565701536693499,0.0005499202436500816
72,0.524572965717,2181.0,12,34,0.56195825571445,-0.037385289997450055
73,0.520919076153,2182.0,12,35,0.5751610761760502,-0.05424200002305013
74,0.538735151353,2183.0,12,36,0.58362183425745,-0.04488668290444997
75,0.5771042682,2184.0,12,37,0.6004613067764,-0.023357038576399924
76,0.593318186721,2185.0,12,38,0.6151558737914501,-0.021837687070450085
77,0.39421841309,2375.0,13,1,0.43351087653719994,-0.03929246344719994
78,0.413076527162,2376.0,13,2,0.44545816222905,-0.032381635067049996
79,0.450777963138,2377.0,13,3,0.4698406448425,-0.019062681704499984
80,0.472838637844,2378.0,13,4,0.48012806334050007,-0.007289425496500079
81,0.439759075383,2379.0,13,5,0.4857248981272,-0.04596582274419997
82,0.450649757665,2380.0,13,6,0.47982564191939997,-0.029175884254399986
83,0.463390708878,2381.0,13,7,0.47630577514980005,-0.012915066271800058
84,0.474117265784,2382.0,13,8,0.49710672080215,-0.02298945501815003
85,0.482339497123,2383.0,13,9,0.49365378434305,-0.011314287220050012
86,0.487380788536,2384.0,13,10,0.49012566572819993,-0.002744877192199957
87,0.449409729887,2385.0,13,11,0.4946830553910999,-0.045273325504099904
88,0.48353236478,2386.0,13,12,0.5009969054358,-0.017464540655799998
89,0.45741752198,2387.0,13,13,0.4996296309300499,-0.0422121089500499
90,0.482647434216,2388.0,13,14,0.4986537655813,-0.016006331365299997
91,0.475888044934,2389.0,13,15,0.5067831877958501,-0.030895142861850078
92,0.506008143391,2390.0,13,16,0.49030994764555,0.01569819574544995
93,0.504672826153,2391.0,13,17,0.5076443601284499,-0.0029715339754499137
94,0.482172339871,2392.0,13,18,0.51213563395225,-0.029963294081250036
