time,value,original_time,day_number,time_index,moving_average,fluctuation
1,8517563.20684,2010.0,11,1,9286179.03009,-768615.8232500013
2,7747063.35622,2011.0,11,2,8206134.963783999,-459071.60756399855
3,6784354.68527,2012.0,11,3,6729372.4906164985,54982.194653501734
4,6027308.28923,2013.0,11,4,6359049.0976675,-331740.80843750015
5,6066714.33774,2014.0,11,5,5843326.312318,223388.02542200033
6,5217727.68106,2015.0,11,6,6008556.2379145,-790828.5568544995
7,4659864.80029,2016.0,11,7,5245852.841117,-585988.0408270005
8,4619500.87066,2017.0,11,8,4661942.027815,-42441.157155000605
9,4084440.38409,2018.0,11,9,4833665.399987501,-749225.0158975013
10,3822822.01099,2019.0,11,10,4915470.7401985,-1092648.7292085006
11,3235938.86906,2020.0,11,11,4565874.6118725,-1329935.7428124999
12,3695029.1185,2021.0,11,12,4115930.261079,-420901.142579
13,4514460.18393,2022.0,11,13,3810680.5187369995,703779.6651930008
14,4200675.02284,2023.0,11,14,4035486.8113024994,165188.21153750038
15,3009659.41893,2024.0,11,15,3393528.6002175,-383869.1812874996
16,3000920.93675,2025.0,11,16,3643172.8600785,-642251.9233285002
17,2617574.58192,2026.0,11,17,3245755.857175,-628181.2752550002
18,2679090.63259,2027.0,11,18,3079303.7622419996,-400213.12965199957
19,2607909.02542,2028.0,11,19,2790370.5036659995,-182461.47824599966
20,2534705.99848,2029.0,11,20,2910260.5653184997,-375554.5668384996
21,2697382.16243,2030.0,11,21,2667409.4856545003,29972.676775499713
22,2682877.97902,2031.0,11,22,2707598.760857499,-24720.781837499235
23,2236606.21535,2032.0,11,23,2693211.1789845,-456604.9636344998
24,2365370.99316,2033.0,11,24,2839771.931515,-474400.93835499976
25,2602389.91401,2034.0,11,25,2718990.3422204996,-116600.4282104997
26,2633422.77478,2035.0,11,26,2882198.827781,-248776.05300100008
27,2262071.61237,2036.0,11,27,3021869.3096239995,-759797.6972539993
28,2769510.46801,2037.0,11,28,3108997.216775,-339486.74876500014
29,2891554.50632,2038.0,11,29,4429429.981059499,-1537875.474739499
30,2926790.01829,2039.0,11,30,3483907.4351040507,-557117.4168140506
31,2724063.42752,2040.0,11,31,4245098.605178,-1521035.1776580005
32,3503272.23482,2041.0,11,32,3224904.4425055003,278367.7923144996
33,6209099.27899,2042.0,11,33,3571686.6218635,2637412.6571264993
34,5959479.85747,2043.0,11,34,3777068.7971075,2182411.0603625
35,3749385.01906,2044.0,11,35,3880829.9267064994,-131444.90764649957
36,3629884.35967,2045.0,11,36,4128928.0858385004,-499043.72616850026
37,4864710.79521,2046.0,11,37,5073903.784821501,-209192.98961150087
38,7716912.73914,2047.0,11,38,6743791.5691275,973121.1700125001
39,7565694.70775,2148.0,12,1,9184571.919932498,-1618877.2121824976
40,8558581.158509998,2149.0,12,2,8098660.489596998,459920.66891299933
41,5415471.66233,2150.0,12,3,6745926.28905,-1330454.62672
42,6233071.45018,2151.0,12,4,6299240.746824,-66169.29664400034
43,4774807.31959,2152.0,12,5,5859118.891798,-1084311.5722079994
44,4739412.71358,2153.0,12,6,5928950.565238999,-1189537.851658999
45,4758335.72333,2154.0,12,7,5147400.8686485,-389065.14531849977
46,4289728.86727,2155.0,12,8,4629811.6364710005,-340082.7692010002
47,5572109.68809,2156.0,12,9,4764211.352961002,807898.3351289984
48,7829191.56237,2157.0,12,10,4759141.094804,3070050.4675660003
49,5963268.85663,2158.0,12,11,4338511.737816,1624757.118814
50,3710758.91211,2159.0,12,12,4026713.5399125004,-315954.6278025005
51,3668470.20385,2160.0,12,13,3741341.3314224994,-72871.12757249922
52,3397880.14037,2161.0,12,14,4017582.835897,-619702.6955269999
53,2892659.88805,2162.0,12,15,3402873.853307,-510213.9652569997
54,2841318.96252,2163.0,12,16,3654436.107312499,-813117.144792499
55,3704283.07187,2164.0,12,17,3232931.3372314996,471351.7346385005
56,3164278.14321,2165.0,12,18,2995120.9101034994,169157.23310650047
57,2661025.37035,2166.0,12,19,2788677.966642999,-127652.59629299911
58,2408437.99494,2167.0,12,20,2913160.430485,-504722.4355449998
59,2517167.33405,2168.0,12,21,2676211.7687255,-159044.4346754998
60,2385149.57073,2169.0,12,22,2693593.6735555003,-308444.10282550054
61,2519421.68098,2170.0,12,23,2642060.2971449997,-122638.61616499955
62,2563972.46294,2171.0,12,24,2787319.5991685,-223347.13622849993
63,2340337.10294,2172.0,12,25,2707288.838874,-366951.735934
64,2541195.6287,2173.0,12,26,2876859.9941815003,-335664.3654815005
65,2582378.0669,2174.0,12,27,3007525.1447395002,-425147.07783950027
66,3194367.15477,2175.0,12,28,3093898.8854825003,100468.2692874996
67,2668328.81038,2176.0,12,29,4436929.463080499,-1768600.6527004992
68,2628718.3374,2177.0,12,30,3480057.11335105,-851338.7759510498
69,3505449.50379,2178.0,12,31,4156453.4374950007,-651003.9337050007
70,3508627.54579,2179.0,12,32,3173155.3596905004,335472.18609949946
71,3108363.9302,2180.0,12,33,3691954.1767700003,-583590.2465700004
72,3820463.31339,2181.0,12,34,3822319.590658,-1856.2772680004127
73,4085220.03056,2182.0,12,35,3820117.598079999,265102.4324800009
74,4197339.25421,2183.0,12,36,4123858.2013855004,73481.05282449955
75,4692679.8134,2184.0,12,37,5031849.1973595,-339169.3839595001
76,6218607.26092,2185.0,12,38,6665060.9356855005,-446453.67476550024
77,9178702.726,2375.0,13,1,8986835.065108001,191867.66089199856
78,9508597.31145,2376.0,13,2,7850355.707894499,1658241.6035555014
79,6276419.23598,2377.0,13,3,6527941.628687999,-251522.39270799886
80,7497835.324249999,2378.0,13,4,6224936.361723,1272898.9625269985
81,5423570.26201,2379.0,13,5,5764726.839718,-341156.5777080003
82,5402744.01848,2380.0,13,6,5795426.838324,-392682.81984400004
83,6777673.23798,2381.0,13,7,4919975.2379785,1857698.0000014994
84,4763331.30325,2382.0,13,8,4544876.513548001,218454.78970199917
85,5598675.81689,2383.0,13,9,4628522.513106501,970153.3037834996
86,3878432.72027,2384.0,13,10,4861450.0447815005,-983017.3245115005
87,4868583.49176,2385.0,13,11,4334256.364752499,534327.1270075003
88,5884958.42006,2386.0,13,12,3809566.534550001,2075391.8855099995
89,4166262.78283,2387.0,13,13,3605522.9939315,560739.7888985001
90,3265302.12886,2388.0,13,14,3821965.7235775003,-556663.5947175003
91,4112336.59903,2389.0,13,15,3193032.1449160003,919304.4541139998
92,4397144.63342,2390.0,13,16,3361860.3123999997,1035284.3210200001
93,4672243.7171,2391.0,13,17,3036888.8877005,1635354.8293995
94,3546354.25021,2392.0,13,18,2876543.7400990003,669810.5101109999
95,3037104.65386,2393.0,13,19,2742303.987536,294800.6663239999
96,2975849.69185,2394.0,13,20,2811055.2806675006,164794.4111824995
97,3303057.27272,2395.0,13,21,2576557.643395,726499.6293249996
98,2493834.68689,2396.0,13,22,2633283.075129,-139448.388239
99,2894690.34281,2397.0,13,23,2563020.672984,331669.669826
100,2582677.33025,2398.0,13,24,2699081.379319,-116404.04906899994
101,2460448.77884,2399.0,13,25,2643164.6380260005,-182715.85918600066
102,2626471.79537,2400.0,13,26,2802685.7887285003,-176213.9933585003
