time,value,original_time,day_number,time_index,moving_average,fluctuation
1,0.568744946066,2010.0,11,1,0.5932604027129,-0.024515456646900025
2,0.557919788981,2011.0,11,2,0.5807162449754999,-0.022796455994499865
3,0.625815250662,2012.0,11,3,0.60317742067785,0.022637829984150093
4,0.674747671511,2013.0,11,4,0.61117062611555,0.06357704539545006
5,0.623225426791,2014.0,11,5,0.611000646773,0.012224780017999981
6,0.613292525589,2015.0,11,6,0.617621428261,-0.0043289026719999235
7,0.600749244026,2016.0,11,7,0.6108244285489,-0.010075184522899905
8,0.620068383281,2017.0,11,8,0.6339668400995,-0.013898456818499993
9,0.636549854344,2018.0,11,9,0.6292436857963001,0.007306168547699943
10,0.652434507598,2019.0,11,10,0.63028848581625,0.02214602178175007
11,0.663000180485,2020.0,11,11,0.63857529983945,0.02442488064554993
12,0.624180849834,2021.0,11,12,0.6413951822130499,-0.0172143323790499
13,0.59622268407,2022.0,11,13,0.641764464968,-0.045541780897999984
14,0.623126284233,2023.0,11,14,0.6451366271901999,-0.022010342957199946
15,0.657072828985,2024.0,11,15,0.6493666918044498,0.007706137180550132
16,0.639996891637,2025.0,11,16,0.63815465302345,0.0018422386135500401
17,0.669663154159,2026.0,11,17,0.653696600504,0.015966553654999993
18,0.624373536123,2027.0,11,18,0.6503984598212501,-0.026024923698250157
19,0.649088869728,2028.0,11,19,0.6455057930599499,0.0035830766680500226
20,0.64178137726,2029.0,11,20,0.65953685856765,-0.017755481307650034
21,0.624027211311,2030.0,11,21,0.66050201314085,-0.03647480182984997
22,0.660711107792,2031.0,11,22,0.6594845453841,0.0012265624079000892
23,0.645034135227,2032.0,11,23,0.6762325471537,-0.03119841192669992
24,0.67690903169,2033.0,11,24,0.6656419159264501,0.011267115763549995
25,0.689041562741,2034.0,11,25,0.6632806158878501,0.02576094685314989
26,0.69780804347,2035.0,11,26,0.6871799550636,0.01062808840640006
27,0.66115490425,2036.0,11,27,0.6762671864486501,-0.015112282198650129
28,0.697719112865,2037.0,11,28,0.6767075053849501,0.021011607480049932
29,0.639591028296,2038.0,11,29,0.6693744525523501,-0.029783424256350055
30,0.654535556389,2039.0,11,30,0.6767002500024001,-0.02216469361340012
31,0.670961167574,2040.0,11,31,0.69452956907525,-0.023568401501249947
32,0.655750758382,2041.0,11,32,0.69455776241295,-0.03880700403094994
33,0.591851811589,2042.0,11,33,0.7025253211627,-0.11067350957369992
