time,value,original_time,day_number,time_index,moving_average,fluctuation
1,140865.762443,2010.0,11,1,174649.54725725,-33783.784814249986
2,142309.031606,2011.0,11,2,168947.103237845,-26638.071631845
3,185703.839112,2012.0,11,3,175722.38238878502,9981.456723214971
4,236594.823139,2013.0,11,4,180597.57672747498,55997.246411525004
5,193683.406665,2014.0,11,5,168465.45897619502,25217.94768880497
6,160086.360309,2015.0,11,6,174398.368562775,-14312.008253774984
7,141350.01519,2016.0,11,7,154035.91988479,-12685.904694789991
8,150169.252949,2017.0,11,8,155166.01207941503,-4996.759130415041
9,128439.707477,2018.0,11,9,153724.7006067,-25284.9931297
10,136136.599669,2019.0,11,10,153436.67948650502,-17300.07981750503
11,136585.070585,2020.0,11,11,148679.37125228002,-12094.300667280011
12,117376.449957,2021.0,11,12,144734.51092964498,-27358.060972644977
13,108422.307233,2022.0,11,13,132939.831869215,-24517.524636215006
14,106478.014883,2023.0,11,14,140035.590165965,-33557.575282965
15,105019.074315,2024.0,11,15,123569.46502707002,-18550.390712070017
16,93814.0001082,2025.0,11,16,115439.918393505,-21625.918285305
17,100173.669907,2026.0,11,17,120700.32398039999,-20526.654073399986
18,83056.76679599998,2027.0,11,18,111562.870127095,-28506.103331095015
19,90846.9020048,2028.0,11,19,101796.701257305,-10949.799252505007
20,81538.7617366,2029.0,11,20,114878.383295015,-33339.62155841499
21,70854.5508296,2030.0,11,21,104369.36721055,-33514.81638095
22,102070.507456,2031.0,11,22,109886.46459741001,-7815.957141410006
23,83061.75431469998,2032.0,11,23,119486.609745435,-36424.85543073501
24,95944.9851175,2033.0,11,24,120352.23345297502,-24407.24833547503
25,105326.26461,2034.0,11,25,112514.20342444498,-7187.938814444977
26,113498.633142,2035.0,11,26,133637.83971978,-20139.206577779987
27,93115.124965,2036.0,11,27,140522.693142095,-47407.568177095
28,131136.224459,2037.0,11,28,139142.7279931,-8006.503534100018
29,92080.2878099,2038.0,11,29,147807.73254911002,-55727.44473921003
30,106647.392219,2039.0,11,30,139691.17042539996,-33043.77820639996
31,123825.736553,2040.0,11,31,164070.8697215,-40245.133168500004
32,116922.996721,2041.0,11,32,166724.89498824498,-49801.89826724498
33,208062.787504,2042.0,11,33,192208.2715782,15854.51592580002
34,289945.984322,2043.0,11,34,206752.86992545,83193.11439655
35,201999.289179,2044.0,11,35,225025.45464990003,-23026.165470900014
36,229892.488994,2045.0,11,36,258646.69700485002,-28754.20801085001
37,321893.82727,2046.0,11,37,358942.1387155,-37048.3114455
38,478707.699611,2047.0,11,38,527326.1675532999,-48618.4679422999
