time,value,original_time,day_number,time_index,moving_average,fluctuation
1,0.459482029459,2010.0,11,1,0.43425199826549993,0.02523003119350009
2,0.391185184768,2011.0,11,2,0.40673699325049995,-0.01555180848249993
3,0.474979049635,2012.0,11,3,0.40181164784935,0.07316740178565001
4,0.422027823423,2013.0,11,4,0.40161855052725004,0.020409272895749953
5,0.439214313795,2014.0,11,5,0.40834194714375005,0.030872366651249927
6,0.432715977475,2015.0,11,6,0.41054908683600005,0.02216689063899996
7,0.374429013944,2016.0,11,7,0.39188885391355,-0.017459839969549973
8,0.407765287632,2017.0,11,8,0.41720875486180004,-0.009443467229800051
9,0.438358232652,2018.0,11,9,0.40942911293785,0.02892911971415002
10,0.420039581779,2019.0,11,10,0.4084737189848,0.011565862794200021
11,0.4483912764,2020.0,11,11,0.40882641242924994,0.03956486397075004
12,0.424736547641,2021.0,11,12,0.41383105551679994,0.010905492124200056
13,0.413502610063,2022.0,11,13,0.4231701288167001,-0.009667518753700088
14,0.386493376452,2023.0,11,14,0.41333235822575,-0.026838981773749992
15,0.40604337872,2024.0,11,15,0.41542895452565,-0.00938557580564997
16,0.406011298956,2025.0,11,16,0.4064676793575,-0.0004563804014999784
17,0.385652995655,2026.0,11,17,0.42567016274225,-0.040017167087250005
18,0.38420169335,2027.0,11,18,0.42338111453160004,-0.03917942118160006
19,0.423379850748,2028.0,11,19,0.41858237346189997,0.004797477286100027
20,0.419118821791,2029.0,11,20,0.4252384633375,-0.006119641546499965
21,0.406583711341,2030.0,11,21,0.42707757213784997,-0.02049386079684995
22,0.43647697022,2031.0,11,22,0.4245010416505,0.011975928569499972
23,0.406676930525,2032.0,11,23,0.4315750350605,-0.02489810453550001
24,0.397828595869,2033.0,11,24,0.43530227592664994,-0.03747368005764995
25,0.414014455483,2034.0,11,25,0.42333276755550003,-0.009318312072500057
26,0.446222739062,2035.0,11,26,0.43657242820505004,0.00965031085694995
27,0.466675440539,2036.0,11,27,0.4334450929433,0.03323034759569998
28,0.417567844123,2037.0,11,28,0.42903023058969997,-0.011462386466699948
29,0.428507603782,2038.0,11,29,0.41860792337744995,0.009899680404550026
30,0.43945029047,2039.0,11,30,0.41386806626355,0.02558222420645001
31,0.415908130107,2040.0,11,31,0.4227038713954,-0.006795741288399992
32,0.425766752785,2041.0,11,32,0.4266310760679001,-0.0008643232829000924
33,0.372823407291,2042.0,11,33,0.42546045883565,-0.05263705154464998
34,0.414270976006,2043.0,11,34,0.40634220289365,0.007928773112350018
35,0.454067013152,2044.0,11,35,0.4042057918701,0.049861221281900014
36,0.482778412582,2045.0,11,36,0.4016666497394,0.08111176284260002
37,0.436223377581,2046.0,11,37,0.4055174133309,0.03070596425009997
38,0.375267217244,2047.0,11,38,0.3845964866773,-0.009329269433300036
39,0.422259035919,2148.0,12,1,0.43556129933375,-0.013302263414749993
40,0.399303391833,2149.0,12,2,0.40454830914885004,-0.005244917315850028
41,0.403678088152,2150.0,12,3,0.40727145071455,-0.0035933625625499954
42,0.382256212995,2151.0,12,4,0.40093671853624996,-0.018680505541249948
43,0.371736963459,2152.0,12,5,0.40722679282490004,-0.03548982936590006
44,0.369691645866,2153.0,12,6,0.4177378854504,-0.04804623958440002
45,0.389984484178,2154.0,12,7,0.3957838881916,-0.0057994040135999625
46,0.390686674208,2155.0,12,8,0.41770911117315,-0.02702243696515
47,0.348591356404,2156.0,12,9,0.41602271569109994,-0.06743135928709992
