time,value,original_time,day_number,time_index,moving_average,fluctuation
1,85626.95563919998,2010.0,11,1,84910.40883427,716.5468049299816
2,53655.6685191,2011.0,11,2,70578.47823662,-16922.809717519995
3,101456.978053,2012.0,11,3,63913.43881827999,37543.53923472001
4,83207.3634168,2013.0,11,4,62495.647810599985,20711.715606200014
5,82457.7443661,2014.0,11,5,62636.30996345498,19821.43440264502
6,66565.0326634,2015.0,11,6,65372.39254583999,1192.640117560004
7,39011.0815982,2016.0,11,7,49003.34625183,-9992.264653630002
8,51612.3461807,2017.0,11,8,55688.35841425,-4076.012233549998
9,53340.4346895,2018.0,11,9,54553.2099698,-1212.775280300004
10,46325.5709572,2019.0,11,10,52339.481239709996,-6013.910282509998
11,54110.6843869,2020.0,11,11,49525.40672078999,4585.277666110007
12,45093.1430592,2021.0,11,12,49778.728535300004,-4685.585476100001
13,43800.5534762,2022.0,11,13,49253.67019591,-5453.11671971
14,32250.1249004,2023.0,11,14,47931.58178388001,-15681.456883480008
15,31795.6922181,2024.0,11,15,41244.52357039999,-9448.831352299992
16,30806.1109976,2025.0,11,16,38246.60513084,-7440.494133239998
17,25870.9592091,2026.0,11,17,43452.737522320014,-17581.778313220013
18,23840.993052,2027.0,11,18,39985.15492819001,-16144.161876190006
19,32580.2523916,2028.0,11,19,35889.51408926999,-3309.2616976699937
20,29056.5073366,2029.0,11,20,40182.66504318499,-11126.157706584992
21,24591.5029063,2030.0,11,21,37439.333011714996,-12847.830105414996
22,37135.2119576,2031.0,11,22,37837.40919008,-702.1972324800008
23,26536.9278963,2032.0,11,23,41565.746866154994,-15028.818969854994
24,26715.8226415,2033.0,11,24,43583.20871714,-16867.38607564
25,32085.2540866,2034.0,11,25,38134.859301364995,-6049.605214764993
26,40156.6879542,2035.0,11,26,46294.56068224499,-6137.872728044989
27,41321.538357,2036.0,11,27,47858.31934012,-6536.780983119999
28,39310.4817923,2037.0,11,28,46357.072054020005,-7046.5902617200045
29,34676.8989341,2038.0,11,29,48074.903258385006,-13398.004324285008
30,41306.4054377,2039.0,11,30,41760.050557255,-453.6451195550035
31,38092.9547344,2040.0,11,31,51362.70630784,-13269.75157344
32,40985.1139515,2041.0,11,32,52622.283381245,-11637.169429744994
33,57980.6540078,2042.0,11,33,58814.48468099999,-833.8306731999837
34,93519.08576920001,2043.0,11,34,55793.939697675,37725.146071525014
35,72875.2997399,2044.0,11,35,59343.41273640001,13531.887003499993
36,94377.2306518,2045.0,11,36,64273.88206406501,30103.34858773499
37,97993.0079106,2046.0,11,37,87965.23875808,10027.769152520006
38,95763.0607099,2047.0,11,38,104415.348328575,-8652.287618674993
