time,value,original_time,day_number,time_index,moving_average,fluctuation
1,1.8172399638,2010.0,11,1,1.7670551993585,0.05018476444150011
2,1.85911770745,2011.0,11,2,1.8089467925735,0.05017091487649994
3,1.70796158563,2012.0,11,3,1.7601375688394998,-0.0521759832094999
4,1.61204630465,2013.0,11,4,1.74440329338,-0.13235698873
5,1.69700401046,2014.0,11,5,1.7427737034129998,-0.04576969295299982
6,1.72435431671,2015.0,11,6,1.7360945448325,-0.011740228122500085
7,1.7721056464,2016.0,11,7,1.7512436983659998,0.02086194803400021
8,1.72016004365,2017.0,11,8,1.6979035364235002,0.022256507226499744
9,1.69963530666,2018.0,11,9,1.7075177138525,-0.007882407192499885
10,1.66479588433,2019.0,11,10,1.709595579578,-0.04479969524800009
11,1.63995471035,2020.0,11,11,1.6902278208920003,-0.05027311054200023
12,1.71028011031,2021.0,11,12,1.6887287985730002,0.021551311736999867
13,1.77799880098,2022.0,11,13,1.6840247395639998,0.09397406141600029
14,1.71767846981,2023.0,11,14,1.6762764917974997,0.04140197801250034
15,1.65542606578,2024.0,11,15,1.6709689745385004,-0.015542908758500396
16,1.68877960232,2025.0,11,16,1.6951503833205,-0.0063707810005000365
17,1.63763609408,2026.0,11,17,1.6630738634834998,-0.025437769403499733
18,1.73525809113,2027.0,11,18,1.6738984463549997,0.06135964477500022
19,1.67932863558,2028.0,11,19,1.6813458499315002,-0.0020172143515002627
20,1.69275022361,2029.0,11,20,1.6568930537984996,0.035857169811500444
21,1.72675831229,2030.0,11,21,1.6525171901854996,0.07424112210450051
22,1.65719032933,2031.0,11,22,1.6565672839290002,0.0006230454009998887
23,1.69238903722,2032.0,11,23,1.6287016852725,0.06368735194749986
24,1.62044744833,2033.0,11,24,1.643187139304,-0.022739690974000082
25,1.59979782087,2034.0,11,25,1.648509771061,-0.04871195019099983
26,1.58354314078,2035.0,11,26,1.606100545744,-0.02255740496400005
27,1.64296550799,2036.0,11,27,1.6286335870385003,0.014331920951499821
28,1.58715613171,2037.0,11,28,1.6262718831544998,-0.03911575144449975
29,1.68345899077,2038.0,11,29,1.6384210228660003,0.04503796790399961
30,1.66061211731,2039.0,11,30,1.6273578355085,0.03325428180149981
31,1.64276649856,2040.0,11,31,1.596895127853,0.04587137070699998
32,1.65782654372,2041.0,11,32,1.5972897403900002,0.06053680332999978
33,1.78430579967,2042.0,11,33,1.5818376595095,0.20246814016049997
34,1.62986165235,2043.0,11,34,1.5873231095865,0.04253854276350011
35,1.58109955458,2044.0,11,35,1.5681056134705,0.012993941109499918
36,1.54288006395,2045.0,11,36,1.550240172719,-0.007360108769000062
37,1.54979784069,2046.0,11,37,1.5300168970094998,0.019780943680500096
38,1.55792882143,2047.0,11,38,1.4944168630585,0.06351195837150003
39,1.78757419266,2148.0,12,1,1.7683135957960001,0.019260596863999835
40,1.82596755564,2149.0,12,2,1.8124254193950002,0.01354213624499967
41,1.82049373783,2150.0,12,3,1.7501828079069999,0.07031092992300003
42,1.77261240923,2151.0,12,4,1.7358707786690002,0.03674163056099977
43,1.82196769027,2152.0,12,5,1.7307571614864998,0.09121052878350011
44,1.73178998895,2153.0,12,6,1.7291307710280002,0.002659217921999746
45,1.77536930418,2154.0,12,7,1.744745896619,0.030623407561000127
46,1.71363657022,2155.0,12,8,1.6993942301370002,0.01424234008299985
47,1.74854455255,2156.0,12,9,1.7022420257605,0.04630252678950009
48,1.78608325363,2157.0,12,10,1.70441578541,0.08166746822000004
49,1.79618180524,2158.0,12,11,1.6853468640324998,0.11083494120750026
50,1.5958095091,2159.0,12,12,1.6954902275144998,-0.09968071841449988
51,1.71683547639,2160.0,12,13,1.688481168014,0.02835430837600006
