time,value,original_time,day_number,time_index,moving_average,fluctuation
1,13.5362397272,2010.0,11,1,13.658659547380001,-0.12241982018000108
2,13.5171273091,2011.0,11,2,13.633166648740001,-0.11603933964000213
3,13.6198705285,2012.0,11,3,13.563803450105002,0.056067078394997694
4,13.7376299449,2013.0,11,4,13.561436868790002,0.1761930761099979
5,13.6187289679,2014.0,11,5,13.486894864579998,0.131834103320001
6,13.4453070524,2015.0,11,6,13.498099869250002,-0.052792816850001145
7,13.3302682349,2016.0,11,7,13.33433177581,-0.00406354090999983
8,13.3573787734,2017.0,11,8,13.33984755184,0.01753122156000053
9,13.1884280205,2018.0,11,9,13.351739516294998,-0.16331149579499815
10,13.1652309058,2019.0,11,10,13.315311194855,-0.15008028905499948
11,13.1418834171,2020.0,11,11,13.284158971630001,-0.1422755545300003
12,13.1072267864,2021.0,11,12,13.21985496696,-0.11262818055999979
13,13.1534249927,2022.0,11,13,13.164797436974998,-0.011372444274998728
14,13.0439458811,2023.0,11,14,13.198830393219998,-0.1548845121199971
15,12.8850673579,2024.0,11,15,13.05804955214,-0.1729821942399994
16,12.8537571302,2025.0,11,16,13.027914252325,-0.1741571221250009
17,12.8300522424,2026.0,11,17,13.032804950540001,-0.20275270814000024
18,12.7596384993,2027.0,11,18,12.955942339385,-0.196303840085001
19,12.7910544965,2028.0,11,19,12.89970794337,-0.10865344687000089
20,12.7049702351,2029.0,11,20,12.956875102465,-0.25190486736500084
21,12.6243470195,2030.0,11,21,12.876783485045,-0.2524364655449993
22,12.8379672977,2031.0,11,22,12.906858626775,-0.06889132907499906
23,12.6998357618,2032.0,11,23,12.956041143495,-0.2562053816950005
24,12.7703001488,2033.0,11,24,12.966272860939998,-0.1959727121399979
25,12.8386411305,2034.0,11,25,12.910152397925,-0.07151126742500047
26,12.8566101742,2035.0,11,26,13.026091838454999,-0.16948166425499878
27,12.7670622597,2036.0,11,27,13.069189022635001,-0.30212676293500174
28,13.0176643709,2037.0,11,28,13.090691713184999,-0.0730273422849983
29,12.8200702526,2038.0,11,29,13.190190320914999,-0.3701200683149981
30,12.9259920612,2039.0,11,30,13.064746396709998,-0.13875433550999716
31,12.997404877,2040.0,11,31,13.229753166819998,-0.2323482898199991
32,13.0049706234,2041.0,11,32,13.22146612848,-0.21649550507999926
33,13.7397453261,2042.0,11,33,13.35441216424,0.3853331618600002
34,13.9066174525,2043.0,11,34,13.42138596767,0.4852314848300008
35,13.4061576738,2044.0,11,35,13.498703436985,-0.09254576318500085
36,13.5061637349,2045.0,11,36,13.607002467635002,-0.10083873273500288
37,13.8098922267,2046.0,11,37,13.88519036422,-0.07529813751999903
38,14.2214312073,2047.0,11,38,14.214360900015,0.0070703072849997994
39,13.3840551669,2148.0,12,1,13.655099857595,-0.2710446906949997
40,13.6258012313,2149.0,12,2,13.615019812565,0.010781418735000159
41,13.278035904,2150.0,12,3,13.57673836236,-0.2987024583600011
42,13.4446627273,2151.0,12,4,13.562521440540001,-0.11785871324000041
43,13.2276378208,2152.0,12,5,13.504482318204998,-0.2768444974049977
44,13.2565789736,2153.0,12,6,13.496704326555001,-0.24012535295500115
45,13.1388938552,2154.0,12,7,13.337400427770001,-0.19850657257000215
46,13.082707884,2155.0,12,8,13.337551362905003,-0.2548434789050038
47,13.3305673138,2156.0,12,9,13.346343675155001,-0.01577636135500171
48,13.6215816559,2157.0,12,10,13.297769895050001,0.3238117608499991
49,13.39473647,2158.0,12,11,13.24206322354,0.15267324645999913
50,13.3404337495,2159.0,12,12,13.181216872184999,0.15921687731500178
51,13.1553672055,2160.0,12,13,13.133002248010001,0.022364957489998005
52,13.0211111881,2161.0,12,14,13.183116075425001,-0.16200488732500062
53,13.0091430385,2162.0,12,15,13.04801312345,-0.038870084950000106
54,12.9848931594,2163.0,12,16,13.029714429105002,-0.04482126970500211
55,13.1316386787,2164.0,12,17,13.007226445305,0.12441223339500063
56,12.9642837172,2165.0,12,18,12.952729556380001,0.011554160819999382
57,12.8322271255,2166.0,12,19,12.90716888277,-0.07494175727000041
58,12.926421365,2167.0,12,20,12.936131009010001,-0.009709644010001739
59,12.8081349528,2168.0,12,21,12.872417312045002,-0.06428235924500214
60,12.7418241418,2169.0,12,22,12.910969909050001,-0.16914576725000074
61,12.9447112135,2170.0,12,23,12.92815541458,0.01655579891999892
62,12.8986942645,2171.0,12,24,12.951605354904999,-0.05291109040499897
63,12.7822760412,2172.0,12,25,12.908836009629999,-0.12655996842999961
64,12.8570357441,2173.0,12,26,13.026855997359998,-0.16982025325999928
65,12.9054418958,2174.0,12,27,13.065265359720001,-0.15982346392000224
66,13.0994880955,2175.0,12,28,13.084979428985003,0.01450866651499716
67,12.968033606,2176.0,12,29,13.179931127360001,-0.21189752136000095
68,13.0994860535,2177.0,12,30,13.046057112405,0.053428941094999516
69,13.2848692476,2178.0,12,31,13.20509400597,0.07977524162999927
70,13.2520206175,2179.0,12,32,13.198240149455,0.05378046804499981
71,13.2432259832,2180.0,12,33,13.380460236580001,-0.13723425338000084
72,13.3087727308,2181.0,12,34,13.44062631065,-0.13185357985000046
73,13.3591004754,2182.0,12,35,13.50390610314,-0.14480562774000028
74,13.4658239341,2183.0,12,36,13.619645743695,-0.1538218095949997
75,13.7349263389,2184.0,12,37,13.87968883647,-0.14476249757000126
76,14.0778761713,2185.0,12,38,14.206439006280002,-0.1285628349800021
77,13.4284183001,2375.0,13,1,13.661492329149999,-0.2330740290499982
78,13.5988280237,2376.0,13,2,13.592306587045002,0.006521436654997714
79,13.4233585217,2377.0,13,3,13.548518874535,-0.1251603528349996
80,13.7260170081,2378.0,13,4,13.555420534995,0.17059647310500026
81,13.2109188528,2379.0,13,5,13.50000377234,-0.2890849195399987
82,13.2727489732,2380.0,13,6,13.464951073634998,-0.1922021004349972
83,13.5728395195,2381.0,13,7,13.29367005384,0.2791694656600008
84,13.2792699079,2382.0,13,8,13.326669573485,-0.04739966558500086
85,13.4846296305,2383.0,13,9,13.329440536275001,0.15518909422499938
86,13.1437539764,2384.0,13,10,13.318015359410001,-0.17426138301000194
87,13.1613002105,2385.0,13,11,13.250380653844996,-0.08908044334499543
88,13.5407652171,2386.0,13,12,13.162497491849999,0.3782677252500015
89,13.0522712191,2387.0,13,13,13.119677685395,-0.06740646629500091
90,12.9470798421,2388.0,13,14,13.159992040545001,-0.2129121984450002
91,13.1419067482,2389.0,13,15,13.028980831264999,0.11292591693500142
92,13.3623040148,2390.0,13,16,12.975811684145,0.386492330654999
93,13.4164926144,2391.0,13,17,12.975282254564998,0.4412103598350008
94,13.0271835796,2392.0,13,18,12.941447379935003,0.08573619966499813
95,12.7297074867,2393.0,13,19,12.916024332715002,-0.18631684601500176
96,12.7273198064,2394.0,13,20,12.92967986607,-0.20236005966999926
97,12.9327195015,2395.0,13,21,12.856636015095,0.07608348640499862
98,12.7978024211,2396.0,13,22,12.894266626400002,-0.09646420530000199
99,12.8421522855,2397.0,13,23,12.91658126644,-0.0744289809400005
100,12.8084795836,2398.0,13,24,12.930953136995,-0.12247355339500032
101,12.8397961905,2399.0,13,25,12.889681829279999,-0.0498856387799993
102,12.912616262,2400.0,13,26,12.992686863109999,-0.08007060110999831
103,12.8534753684,2401.0,13,27,13.066889701755002,-0.21341433335500248
104,13.2290061944,2402.0,13,28,13.063364559044999,0.16564163535500143
105,13.1563488093,2403.0,13,29,13.15442022341,0.001928585890000889
106,13.0151496841,2404.0,13,30,13.039056445154998,-0.023906761054997006
107,13.3436543895,2405.0,13,31,13.200415243299997,0.14323914620000266
108,13.2083456378,2406.0,13,32,13.187860808079998,0.02048482972000265
109,13.1284814652,2407.0,13,33,13.358237888569999,-0.22975642336999869
110,13.3215995108,2408.0,13,34,13.412778275394999,-0.09117876459499819
111,13.3689345359,2409.0,13,35,13.498091519184996,-0.12915698328499658
112,13.5603366543,2410.0,13,36,13.594031048815003,-0.03369439451500256
113,13.7109715769,2411.0,13,37,13.86057333448,-0.14960175757999927
114,14.1044939376,2412.0,13,38,14.188923725999999,-0.0844297883999996
115,13.7400755209,2513.0,14,1,13.615030276434998,0.1250452444650012
116,13.3537967811,2514.0,14,2,13.582002851070001,-0.22820606997000148
117,13.0060475979,2515.0,14,3,13.547271317795,-0.5412237198949992
118,13.8216434535,2516.0,14,4,13.537448482054998,0.28419497144500205
119,13.3246943383,2517.0,14,5,13.482907598079999,-0.15821325977999834
120,13.7673486007,2518.0,14,6,13.4243926964,0.3429559043000001
121,12.7472396501,2519.0,14,7,13.315002022055001,-0.567762371955002
122,13.0692875396,2520.0,14,8,13.317691692034998,-0.2484041524349987
123,13.115856789,2521.0,14,9,13.338276819655002,-0.2224200306550017
124,13.24570524,2522.0,14,10,13.324604467045,-0.0788992270450013
125,13.1670244354,2523.0,14,11,13.221990798914998,-0.05496636351499795
126,13.320922818,2524.0,14,12,13.154564332585,0.16635848541499954
127,13.0509232121,2525.0,14,13,13.109023256110001,-0.05810004401000057
128,13.0274731072,2526.0,14,14,13.154205172175,-0.1267320649750001
129,12.9981210061,2527.0,14,15,13.028056016489998,-0.02993501038999824
130,12.9415608066,2528.0,14,16,12.982831199774997,-0.041270393174997366
131,12.9296521817,2529.0,14,17,12.96843429354,-0.0387821118399998
132,12.7792932878,2530.0,14,18,12.927455712490001,-0.14816242469000152
133,12.9698111782,2531.0,14,19,12.879607080255003,0.09020409794499784
134,12.7470260256,2532.0,14,20,12.90211342472,-0.15508739911999925
135,12.8764461246,2533.0,14,21,12.850720541165,0.02572558343499942
136,13.0607118466,2534.0,14,22,12.861550964720001,0.19916088187999925
137,13.0192110578,2535.0,14,23,12.902388205904998,0.11682285189500163
138,12.9749378164,2536.0,14,24,12.905385939470003,0.06955187692999765
139,12.9023192758,2537.0,14,25,12.870542713545001,0.03177656225499881
140,12.9865521113,2538.0,14,26,12.96225351853,0.024298592770000127
141,12.8827165292,2539.0,14,27,13.053099978525001,-0.17038344932500138
142,13.1209780454,2540.0,14,28,13.050100775779999,0.0708772696200004
143,13.1643275185,2541.0,14,29,13.13170175436,0.03262576414000051
144,13.176148793,2542.0,14,30,13.009317072864999,0.1668317201350007
145,13.1206328033,2543.0,14,31,13.178209664754998,-0.05757686145499896
146,13.10271168,2544.0,14,32,13.176121719955,-0.07341003995500017
147,13.2792919627,2545.0,14,33,13.327487891870001,-0.04819592917000115
148,13.2828910687,2546.0,14,34,13.39767989556,-0.11478882685999992
149,13.4819070094,2547.0,14,35,13.463036881119999,0.018870128280001452
150,13.6925064742,2548.0,14,36,13.575924851305,0.11658162289499963
151,13.8502397274,2549.0,14,37,13.833548575335001,0.016691152064998604
152,14.2385906631,2550.0,14,38,14.161020410150002,0.07757025294999842
153,13.9450191751,3479.0,15,1,13.587060786614998,0.3579583884850024
154,13.0218697315,3480.0,15,2,13.574423177400002,-0.552553445900001
155,14.0999705735,3481.0,15,3,13.47896035976,0.62101021374
156,13.2151807406,3482.0,15,4,13.550774631625,-0.3355938910250007
157,14.0460468388,3483.0,15,5,13.432033115275,0.6140137235249998
158,13.0570024926,3484.0,15,6,13.432337771765,-0.3753352791650002
159,13.358706528,3485.0,15,7,13.262876356459998,0.09583017154000295
160,13.7369432862,3486.0,15,8,13.256589098449998,0.4803541877500024
161,13.8206354083,3487.0,15,9,13.282238160054998,0.5383972482450012
162,12.6413407201,3488.0,15,10,13.333117518095,-0.6917767979949989
163,13.1483025152,3489.0,15,11,13.182794768414999,-0.03449225321499938
164,13.672654862,3490.0,15,12,13.179376247624997,0.49327861437500253
165,13.0658570779,3491.0,15,13,13.094387311990001,-0.02853023409000066
166,13.7170788035,3492.0,15,14,13.07803305504,0.6390457484599992
167,13.4741396884,3493.0,15,15,12.999019251415001,0.47512043698499795
168,13.1376157912,3494.0,15,16,12.950036845165002,0.18757894603499814
169,13.1217987666,3495.0,15,17,12.927355676409999,0.19444309019000094
170,13.0653970562,3496.0,15,18,12.872644617515002,0.19275243868499814
171,13.0664631298,3497.0,15,19,12.862211727375001,0.20425140242499928
172,13.418883445,3498.0,15,20,12.835235727245001,0.5836477177549995
173,12.685312241,3499.0,15,21,12.83648068858,-0.15116844757999992
174,13.0989511594,3500.0,15,22,12.836852629834999,0.26209852956500157
175,13.2325030142,3501.0,15,23,12.86663299943,0.36587001477000136
176,13.1989301032,3502.0,15,24,12.870583517165002,0.3283465860349981
177,13.2757685705,3503.0,15,25,12.831429776190001,0.44433879430999923
