time,value,original_time,day_number,time_index,moving_average,fluctuation
1,1.78184270305,2010.0,11,1,1.7472881517865002,0.03455455126349971
2,1.84340987646,2011.0,11,2,1.7809171950484999,0.062492681411500106
3,1.68463277779,2012.0,11,3,1.746427750121,-0.06179497233099984
4,1.60925257392,2013.0,11,4,1.7308417772525,-0.1215892033324999
5,1.68179453296,2014.0,11,5,1.7283802328874998,-0.046585699927499835
6,1.70796519573,2015.0,11,6,1.7294665657284998,-0.02150136999849983
7,1.76673871344,2016.0,11,7,1.7470714894285002,0.019667224011499895
8,1.7076048799,2017.0,11,8,1.6935602111264998,0.014044668773500302
9,1.69652590538,2018.0,11,9,1.7026321346745,-0.0061062292944999985
10,1.67927891504,2019.0,11,10,1.7099137823794996,-0.030634867339499605
11,1.64043037782,2020.0,11,11,1.6920224518749998,-0.05159207405499977
12,1.70616471964,2021.0,11,12,1.690839857116,0.015324862524000116
13,1.76257862931,2022.0,11,13,1.6816853807240002,0.08089324858599989
14,1.74007686541,2023.0,11,14,1.6753030423745,0.06477382303550017
15,1.68999961072,2024.0,11,15,1.6774706690335002,0.012528941686499762
16,1.70979836755,2025.0,11,16,1.7002049068415002,0.009593460708499757
17,1.67870934361,2026.0,11,17,1.6625263144894997,0.016183029120500292
18,1.75244903905,2027.0,11,18,1.677946821115,0.07450221793500011
19,1.68986358838,2028.0,11,19,1.681621238795,0.00824234958499992
20,1.69874282949,2029.0,11,20,1.6601682302635001,0.03857459922649986
21,1.74163276854,2030.0,11,21,1.6580019331305,0.08363083540949989
22,1.6658971781,2031.0,11,22,1.6610126718105,0.00488450628949999
23,1.69411306816,2032.0,11,23,1.6371816469665,0.05693142119350014
24,1.65683008214,2033.0,11,24,1.6470783427015,0.009751739438499829
25,1.63395726423,2034.0,11,25,1.655023894292,-0.021066630061999936
26,1.61545857636,2035.0,11,26,1.6175864437365,-0.002127867376499948
27,1.63405336252,2036.0,11,27,1.6350157589525,-0.0009623964325000678
28,1.62096857179,2037.0,11,28,1.6343789861265001,-0.013410414336500143
29,1.69427010419,2038.0,11,29,1.6569065556834999,0.03736354850650003
30,1.671634119,2039.0,11,30,1.6449792700089998,0.026654848991000124
31,1.66407565323,2040.0,11,31,1.6214540701559996,0.042621583074000435
32,1.6847805804,2041.0,11,32,1.6108754001255001,0.07390518027449988
33,1.76501241351,2042.0,11,33,1.597680428518,0.16733198499200008
34,1.60479456016,2043.0,11,34,1.6139542469080002,-0.009159686748000162
35,1.60324867162,2044.0,11,35,1.5917625878815,0.01148608373850002
36,1.54013563375,2045.0,11,36,1.579828395091,-0.03969276134099986
37,1.57558892504,2046.0,11,37,1.5606876775785001,0.01490124746149979
38,1.60275420791,2047.0,11,38,1.5431134417385002,0.059640766171499715
39,1.77018306068,2148.0,12,1,1.7473521064674997,0.022830954212500254
40,1.81046055185,2149.0,12,2,1.7857216940715002,0.024738857778499934
41,1.78233546518,2150.0,12,3,1.7379441802860005,0.04439128489399957
42,1.77226289043,2151.0,12,4,1.7247160388645,0.04754685156549998
43,1.8019298366,2152.0,12,5,1.7193735993064998,0.08255623729350026
44,1.76207486091,2153.0,12,6,1.7200810930200003,0.041993767889999756
45,1.7731101222,2154.0,12,7,1.7401403820144998,0.03296974018550025
46,1.73494103413,2155.0,12,8,1.6936889059485,0.041252128181499925
47,1.76609869491,2156.0,12,9,1.6960151726650001,0.07008352224499981
48,1.7757836019,2157.0,12,10,1.7063462119994999,0.06943738990050008
49,1.80968524655,2158.0,12,11,1.6868374110470004,0.1228478355029996
50,1.6248672727,2159.0,12,12,1.6964199493214998,-0.07155267662149978
51,1.71616883257,2160.0,12,13,1.6862197401545,0.029949092415499923
52,1.70446726618,2161.0,12,14,1.6772771692389998,0.027190096941000164
53,1.65873929214,2162.0,12,15,1.6819638520184998,-0.023224559878499917
54,1.67402489227,2163.0,12,16,1.6957134620245,-0.021688569754499953
55,1.67097305481,2164.0,12,17,1.6661572222375,0.004815832572499845
56,1.68368256447,2165.0,12,18,1.6734825379,0.010200026569999965
57,1.69777520915,2166.0,12,19,1.6741372925209999,0.023637916629000166
58,1.62414763376,2167.0,12,20,1.6655625421590003,-0.041414908399000305
59,1.69132878899,2168.0,12,21,1.656998649629,0.034330139361000045
60,1.69076917873,2169.0,12,22,1.6547093908805,0.03605978784950015
61,1.5973085393,2170.0,12,23,1.6429472845845001,-0.04563874528450018
62,1.58651998438,2171.0,12,24,1.6457168318575004,-0.059196847477500425
63,1.69969189588,2172.0,12,25,1.6479655441225003,0.05172635175749973
64,1.65166271407,2173.0,12,26,1.6113876441925001,0.04027506987749985
65,1.67729957142,2174.0,12,27,1.6306942701755003,0.0466053012444998
66,1.70343671163,2175.0,12,28,1.629231017123,0.07420569450699999
67,1.69695967378,2176.0,12,29,1.6560682135499998,0.04089146023000012
68,1.58037949429,2177.0,12,30,1.6494737649229996,-0.06909427063299955
69,1.61745687726,2178.0,12,31,1.6242071967694998,-0.00675031950949978
70,1.65248210706,2179.0,12,32,1.611929816605,0.04055229045499997
71,1.59620657732,2180.0,12,33,1.6021222537425,-0.005915676422499905
72,1.63026249252,2181.0,12,34,1.6097910632115,0.02047142930849999
73,1.67907456616,2182.0,12,35,1.5825626656774998,0.09651190048250013
74,1.62083486863,2183.0,12,36,1.5699449630375,0.05088990559250006
75,1.60517436402,2184.0,12,37,1.5581608704645,0.0470134935555
76,1.57363701874,2185.0,12,38,1.540187470359,0.033449548381000005
77,1.8630145623,2375.0,13,1,1.7424767922205,0.12053777007950006
78,1.89722048424,2376.0,13,2,1.7864951640695002,0.11072532017049985
79,1.79900160384,2377.0,13,3,1.7386526728795002,0.06034893096049987
80,1.7873914914,2378.0,13,4,1.727457018903,0.0599344724969999
81,1.85325694665,2379.0,13,5,1.7200268234044997,0.1332301232455002
82,1.77393859486,2380.0,13,6,1.7299067538355,0.044031841024499974
83,1.76605383078,2381.0,13,7,1.7437508880105,0.022302942769500067
84,1.78659713105,2382.0,13,8,1.6915096564245,0.09508747462549993
85,1.73835239508,2383.0,13,9,1.6928436022939999,0.04550879278600006
86,1.75054833504,2384.0,13,10,1.7068967363065,0.0436515987335
87,1.77477680673,2385.0,13,11,1.6866509743359999,0.08812583239400018
88,1.76552478684,2386.0,13,12,1.6859561965674998,0.07956859027250007
89,1.8107432555,2387.0,13,13,1.6867340335010002,0.12400922199899989
90,1.74442833857,2388.0,13,14,1.6732382474575,0.07119009111249985
91,1.75509627938,2389.0,13,15,1.6716073362369996,0.08348894314300037
92,1.73152716979,2390.0,13,16,1.6945080608855,0.0370191089045
93,1.67350300994,2391.0,13,17,1.6630861213965002,0.010416888543499647
94,1.74854243607,2392.0,13,18,1.662802847991,0.08573958807899995
95,1.78308632576,2393.0,13,19,1.667823377034,0.11526294872599996
96,1.76432771209,2394.0,13,20,1.6603375575965,0.10399015449350002
97,1.75169879041,2395.0,13,21,1.6535875276999998,0.09811126271000026
98,1.71402646809,2396.0,13,22,1.653443082137,0.060583385952999835
99,1.70958354694,2397.0,13,23,1.6382088373144998,0.07137470962550019
100,1.69397365507,2398.0,13,24,1.6400443467390002,0.05392930833099974
101,1.69223898452,2399.0,13,25,1.6492547931585002,0.04298419136149989
102,1.66977876531,2400.0,13,26,1.616005905348,0.053772859961999986
103,1.71730834845,2401.0,13,27,1.6323949807745002,0.08491336767549984
104,1.64562188966,2402.0,13,28,1.6319226905564999,0.013699199103500037
105,1.70041058281,2403.0,13,29,1.6583576880454998,0.04205289476450025
106,1.643929402,2404.0,13,30,1.6495001831449998,-0.00557078114499987
107,1.61808265864,2405.0,13,31,1.6248165140999997,-0.006733855459999827
108,1.66394950388,2406.0,13,32,1.6122040429184998,0.051745460961500234
109,1.66921711268,2407.0,13,33,1.6021778728585,0.06703923982149984
110,1.66052665569,2408.0,13,34,1.614589926476,0.04593672921400005
111,1.6375919689,2409.0,13,35,1.580920049441,0.056671919458999964
112,1.58048176767,2410.0,13,36,1.5679154314575001,0.012566336212499918
113,1.58879616551,2411.0,13,37,1.55681959584,0.031976569670000066
114,1.55284112029,2412.0,13,38,1.5417372084799998,0.011103911810000255
115,1.83811742088,2513.0,14,1,1.7487430084579998,0.08937441242200017
116,1.85402523855,2514.0,14,2,1.7952781215265001,0.058747117023499884
117,1.87709549723,2515.0,14,3,1.7359919414134999,0.14110355581650014
118,1.726629967,2516.0,14,4,1.7312282335210003,-0.0045982665210002605
119,1.78513528484,2517.0,14,5,1.725044244447,0.06009104039299995
120,1.74203215953,2518.0,14,6,1.7312657251874999,0.01076643434250002
121,1.90778325526,2519.0,14,7,1.7358758930459999,0.17190736221400016
122,1.80262372382,2520.0,14,8,1.6901797778185,0.1124439460015001
123,1.7144898421,2521.0,14,9,1.6952252447749998,0.0192645973250003
124,1.75923249168,2522.0,14,10,1.703075204684,0.05615728699599987
125,1.74107497549,2523.0,14,11,1.6888835481445004,0.05219142734549953
126,1.74508367397,2524.0,14,12,1.686422260628,0.058661413342000035
127,1.76175214737,2525.0,14,13,1.6849978923275,0.0767542550425
128,1.7649284948,2526.0,14,14,1.6719300717155001,0.09299842308449979
129,1.67656401949,2527.0,14,15,1.676418746685,0.00014527280499998518
130,1.77611033694,2528.0,14,16,1.6941052120669997,0.08200512487300027
131,1.71921652864,2529.0,14,17,1.6644639092270002,0.054752619412999914
132,1.72612275188,2530.0,14,18,1.664272343641,0.0618504082389999
133,1.67700182429,2531.0,14,19,1.6776492368085,-0.0006474125185000901
134,1.77103324958,2532.0,14,20,1.662740958187,0.108292291393
135,1.68294110473,2533.0,14,21,1.654732525915,0.02820857881499994
136,1.68434590729,2534.0,14,22,1.6565569919665002,0.027788915323499808
137,1.69294196406,2535.0,14,23,1.6395783422424999,0.053363621817500206
138,1.7220673597,2536.0,14,24,1.6413196561835002,0.08074770351649985
139,1.71871089772,2537.0,14,25,1.6479252592880003,0.07078563843199981
140,1.61183826625,2538.0,14,26,1.6243065522490003,-0.012468285999000406
141,1.69450457949,2539.0,14,27,1.6328642357945,0.06164034369549998
142,1.61276635573,2540.0,14,28,1.6340317681774998,-0.0212654124474998
143,1.68053224493,2541.0,14,29,1.6596948410625,0.020837403867499882
144,1.68074162897,2542.0,14,30,1.6470088053764997,0.03373282359350016
145,1.66713952605,2543.0,14,31,1.627476794487,0.03966273156300004
146,1.66434188725,2544.0,14,32,1.6183125880254998,0.046029299224500164
147,1.64461163402,2545.0,14,33,1.6057043784455,0.03890725557450003
148,1.62630974995,2546.0,14,34,1.617549630823,0.008760119127000143
149,1.57802980609,2547.0,14,35,1.585618885532,-0.007589079441999935
150,1.52977097973,2548.0,14,36,1.5702061092505,-0.04043512952049988
151,1.58821281846,2549.0,14,37,1.5602150193905002,0.02799779906949973
152,1.49470129955,2550.0,14,38,1.5464579309484998,-0.05175663139849984
153,1.77636792909,3479.0,15,1,1.7525844688514998,0.02378346023850031
154,1.83781579735,3480.0,15,2,1.7965994759239998,0.04121632142600018
155,1.72590745883,3481.0,15,3,1.742438574566,-0.01653111573599997
156,1.89220529425,3482.0,15,4,1.723951044155,0.16825425009500017
157,1.7955679654,3483.0,15,5,1.7264256264614999,0.06914233893850019
158,1.96337322193,3484.0,15,6,1.7222484407654999,0.2411247811645001
159,1.73941404871,3485.0,15,7,1.7447377054075002,-0.005323656697500123
160,1.77641152344,3486.0,15,8,1.6912460110824998,0.08516551235750014
161,1.63148732768,3487.0,15,9,1.6999734989205,-0.06848617124050005
162,1.96395309091,3488.0,15,10,1.689028812238,0.2749242786720001
163,1.65769061757,3489.0,15,11,1.6887538591235,-0.031063241553500154
164,1.61890128536,3490.0,15,12,1.6905579728395002,-0.07165668747950016
165,1.65888768738,3491.0,15,13,1.6951160570900001,-0.0362283697100001
166,1.60546840348,3492.0,15,14,1.6839140430745,-0.07844563959450013
167,1.63332624008,3493.0,15,15,1.6814600694750002,-0.048133829395000216
168,1.74796326407,3494.0,15,16,1.6958804564695,0.05208280760049999
169,1.75785984483,3495.0,15,17,1.666953002251,0.09090684257900006
