time,value,original_time,day_number,time_index,moving_average,fluctuation
1,1241102.199,2010.0,11,1,1384309.215685,-143207.01668499992
2,1305550.59036,2011.0,11,2,1413669.1992571498,-108118.6088971498
3,1296468.79501,2012.0,11,3,1325432.7882909,-28963.993280899944
4,1381366.42997,2013.0,11,4,1317617.3260742002,63749.10389579972
5,1350289.23731,2014.0,11,5,1236752.0175031,113537.21980690002
6,1163545.19084,2015.0,11,6,1248337.195501,-84792.00466099987
7,1087868.32039,2016.0,11,7,1087065.2867565001,803.0336334998719
8,1068577.59187,2017.0,11,8,1047288.8909126502,21288.700957349734
9,864649.463345,2018.0,11,9,1051869.7751097,-187220.31176469987
10,858089.447696,2019.0,11,10,1028995.4150181502,-170905.96732215025
11,826652.482866,2020.0,11,11,982826.78768985,-156174.30482384993
12,821829.188905,2021.0,11,12,940985.65197975,-119156.46307475003
13,852851.2696119999,2022.0,11,13,869630.0833518999,-16778.81373990001
14,747014.375687,2023.0,11,14,897261.1808632001,-150246.8051762001
15,646626.852823,2024.0,11,15,785672.2501375499,-139045.3973145499
16,615447.719614,2025.0,11,16,764679.74989165,-149232.0302776501
17,596619.339595,2026.0,11,17,757052.75978405,-160433.42018905003
18,581416.07857,2027.0,11,18,706114.94923685,-124698.87066685001
19,580497.237667,2028.0,11,19,658985.9816539,-78488.74398689996
20,535208.173961,2029.0,11,20,699837.68855625,-164629.5145952499
21,496704.355716,2030.0,11,21,639245.9972541499,-142541.64153814985
22,626123.220834,2031.0,11,22,669393.24736255,-43270.02652854996
23,543007.611016,2032.0,11,23,686586.0234826,-143578.41246659996
24,552260.895179,2033.0,11,24,713424.9364707002,-161164.0412917002
25,586387.677861,2034.0,11,25,676516.8239032,-90129.14604220004
26,612339.337565,2035.0,11,26,733768.7496437499,-121429.41207874985
27,569008.997134,2036.0,11,27,800827.6573222001,-231818.66018820019
28,703147.619024,2037.0,11,28,804308.0861805,-101160.46715649997
29,606163.875867,2038.0,11,29,876264.0797947999,-270100.20392779994
30,670728.749813,2039.0,11,30,804256.4738668499,-133527.72405384993
31,733313.225252,2040.0,11,31,892621.5773508999,-159308.3520988999
32,722997.370842,2041.0,11,32,903607.8073454,-180610.43650339998
33,1661934.29832,2042.0,11,33,1021709.4115898,640224.8867302
34,1785850.95176,2043.0,11,34,1092749.0783903499,693101.8733696502
35,1071355.62274,2044.0,11,35,1167132.62385785,-95777.00111784996
36,1162876.00138,2045.0,11,36,1295020.5986145001,-132144.5972345001
37,1605567.08894,2046.0,11,37,1721487.6578465,-115920.5689065
38,2388665.88304,2047.0,11,38,2325135.9512175005,63529.931822499726
39,1065387.57047,2148.0,12,1,1378176.8381054997,-312789.2676354998
40,1406822.06261,2149.0,12,2,1391979.16102615,14842.901583849918
41,993172.638379,2150.0,12,3,1334879.4618669502,-341706.82348795014
42,1135273.85512,2151.0,12,4,1313174.9340291999,-177901.07890919992
43,959653.501728,2152.0,12,5,1247565.5363177,-287912.03458970005
44,934384.6334840001,2153.0,12,6,1243724.07105005,-309339.43756604986
45,857944.684938,2154.0,12,7,1089052.4389590998,-231107.75402109977
46,756720.7427019998,2155.0,12,8,1042505.5010066502,-285784.7583046503
47,999388.164761,2156.0,12,9,1044803.2984963998,-45415.13373539981
48,1387320.21305,2157.0,12,10,1010257.6358924499,377062.57715755
49,1096849.51141,2158.0,12,11,940736.0634483999,156113.44796160015
50,1021177.11872,2159.0,12,12,906777.5222405499,114399.59647945012
51,884891.8508979998,2160.0,12,13,840931.1800783001,43960.670819699764
52,768775.789605,2161.0,12,14,884579.1268972,-115803.33729219995
53,751142.12595,2162.0,12,15,779792.9581046,-28650.83215459995
54,727549.111548,2163.0,12,16,762608.2669081001,-35059.15536010009
55,835101.9109399999,2164.0,12,17,738230.81252745,96871.09841254982
56,707995.803897,2165.0,12,18,704250.2411790501,3745.5627179499716
57,610834.475831,2166.0,12,19,660469.1791813502,-49634.703350350144
58,659613.6711,2167.0,12,20,686341.0372773,-26727.36617729999
59,588787.248518,2168.0,12,21,637354.1513719,-48566.902853899985
60,557520.358438,2169.0,12,22,670333.1048069,-112812.74636890006
61,631314.31507,2170.0,12,23,671902.74363085,-40588.42856084998
62,628699.417524,2171.0,12,24,704430.0754022502,-75730.65787825012
63,588810.601917,2172.0,12,25,672363.8498678,-83553.2479508
64,612861.710829,2173.0,12,26,731957.1921001,-119095.4812711
65,680673.645989,2174.0,12,27,794860.6348466,-114186.98885760002
66,840505.453216,2175.0,12,28,795107.3447296501,45398.10848634993
67,731188.5568519998,2176.0,12,29,867232.1063236,-136043.5494716002
68,782164.103475,2177.0,12,30,788825.51187325,-6661.4083982500015
