time,value,original_time,day_number,time_index,moving_average,fluctuation
1,0.560575424197,2010.0,11,1,0.57047173861345,-0.009896314416450003
2,0.567527067887,2011.0,11,2,0.5808759523642,-0.013348884477199952
3,0.602586074246,2012.0,11,3,0.5988919077271,0.0036941665188999773
4,0.63791298819,2013.0,11,4,0.6071833044195,0.030729683770500005
5,0.617414919314,2014.0,11,5,0.6097393119899001,0.007675607324099998
6,0.614642852464,2015.0,11,6,0.6078706701965999,0.006772182267400062
7,0.614263872244,2016.0,11,7,0.6035423364214999,0.010721535822500128
8,0.61951125978,2017.0,11,8,0.6206394418696,-0.0011281820895999717
9,0.613887651188,2018.0,11,9,0.6169717531901001,-0.0030841020021000753
10,0.620422802902,2019.0,11,10,0.61451393093745,0.005908871964550033
11,0.642144194198,2020.0,11,11,0.6181237752707001,0.02402041892729989
12,0.615178647647,2021.0,11,12,0.6234646766251499,-0.008286028978149895
13,0.593814712476,2022.0,11,13,0.6238527473466,-0.030038034870599972
14,0.590308774957,2023.0,11,14,0.6238540082503501,-0.03354523329335013
15,0.614380900859,2024.0,11,15,0.6268630278978,-0.012482127038800028
16,0.609943691869,2025.0,11,16,0.61708398869405,-0.007140296825050019
17,0.627962450482,2026.0,11,17,0.63188538373425,-0.003922933252250016
18,0.611929948841,2027.0,11,18,0.6282463895776,-0.01631644073659999
19,0.621863676155,2028.0,11,19,0.62974372006835,-0.007880043913349954
20,0.615194895292,2029.0,11,20,0.6355874861564998,-0.02039259086449985
21,0.593982228298,2030.0,11,21,0.6349568981436,-0.040974669845600054
22,0.626921787929,2031.0,11,22,0.63734755950515,-0.01042577157614999
23,0.632827881873,2032.0,11,23,0.6461233979443,-0.013295516071299973
24,0.633954880839,2033.0,11,24,0.6401489965357501,-0.006194115696750102
25,0.631858148824,2034.0,11,25,0.6391420957120999,-0.007283946888099857
26,0.633390676188,2035.0,11,26,0.64776311599945,-0.014372439811449977
27,0.639449256627,2036.0,11,27,0.6491979978096001,-0.009748741182600051
28,0.648393502275,2037.0,11,28,0.64726964175205,0.0011238605229499932
29,0.610688150278,2038.0,11,29,0.6343912948696501,-0.023703144591650016
30,0.624260659906,2039.0,11,30,0.64189349361005,-0.01763283370405
31,0.647595120716,2040.0,11,31,0.6521994995015,-0.0046043787855000184
32,0.610714147731,2041.0,11,32,0.6634039143613,-0.052689766630300006
33,0.63372873462,2042.0,11,33,0.6670422542608,-0.03331351964079998
34,0.669428641803,2043.0,11,34,0.66975901358745,-0.00033037178445005644
35,0.663007927477,2044.0,11,35,0.6779901026334999,-0.01498217515649991
36,0.687845522418,2045.0,11,36,0.6855116380720999,0.0023338843459000946
37,0.690912107597,2046.0,11,37,0.7001020183075,-0.009189910710500016
38,0.682878658101,2047.0,11,38,0.7109100737047,-0.02803141560370004
39,0.563480356879,2148.0,12,1,0.5707932770037,-0.007312920124699973
40,0.572826897096,2149.0,12,2,0.5799994049828501,-0.007172507886850088
