time,value,original_time,day_number,time_index,moving_average,fluctuation
1,1860410.06341,2010.0,11,1,2083289.0736289993,-222879.01021899935
2,1852128.32166,2011.0,11,2,2053030.7400825,-200902.41842250014
3,1912228.71031,2012.0,11,3,1885212.6330535002,27016.07725649979
4,2061555.09324,2013.0,11,4,1867000.0650319993,194555.02820800082
5,1895186.1533,2014.0,11,5,1738209.79391215,156976.35938784992
6,1606799.7457,2015.0,11,6,1763379.8140100003,-156580.06831000024
7,1456547.41714,2016.0,11,7,1532168.870306,-75621.45316600008
8,1468121.8798,2017.0,11,8,1462618.1217739999,5503.758026000112
9,1237510.32615,2018.0,11,9,1484291.138191,-246780.812041
10,1196341.04446,2019.0,11,10,1445472.9297041497,-249131.88524414971
11,1145510.2476,2020.0,11,11,1388560.4878480001,-243050.24024800025
12,1144977.17349,2021.0,11,12,1315727.9138781498,-170750.74038814986
13,1233702.93618,2022.0,11,13,1212240.80453475,21462.1316452499
14,1095130.20175,2023.0,11,14,1268213.0343360002,-173082.8325860002
15,908005.884869,2024.0,11,15,1094798.3800920001,-186792.49522300018
16,888434.46233,2025.0,11,16,1079754.6177445,-191320.15541450004
17,849413.237024,2026.0,11,17,1059307.97087905,-209894.73385504994
18,819700.372341,2027.0,11,18,985205.92458275,-165505.55224174995
19,824883.070823,2028.0,11,19,920421.34596615,-95538.27514315001
20,759283.7439089998,2029.0,11,20,975593.2842216499,-216309.54031265003
21,718582.635482,2030.0,11,21,894706.8919983,-176124.25651630003
22,853138.554369,2031.0,11,22,926002.99977495,-72864.44540594995
23,748461.9596029999,2032.0,11,23,956799.7313003,-208337.77169730014
24,792835.425561,2033.0,11,24,987081.3457447501,-194245.9201837501
25,841840.508135,2034.0,11,25,939127.7996303501,-97287.29149535007
26,851072.520829,2035.0,11,26,1022507.94615815,-171435.42532914993
27,787515.0683209999,2036.0,11,27,1097454.9792092,-309939.91088820016
28,997854.0177800001,2037.0,11,28,1107014.025089,-109160.00730899977
29,855152.302504,2038.0,11,29,1239527.4186855499,-384375.11618154985
30,938744.871635,2039.0,11,30,1117224.9388167502,-178480.0671817502
31,994609.755491,2040.0,11,31,1245378.5631115,-250768.8076205001
32,1023097.83328,2041.0,11,32,1239628.7228246504,-216530.88954465033
33,2176164.62175,2042.0,11,33,1394393.75923745,781770.8625125499
34,2410758.99092,2043.0,11,34,1484894.5883860001,925864.4025339996
35,1458233.64638,2044.0,11,35,1595240.1569685,-137006.51058849995
36,1561457.93367,2045.0,11,36,1758977.7202144999,-197519.78654449992
37,2136765.01977,2046.0,11,37,2302914.1960734995,-166149.17630349938
38,3241185.9618,2047.0,11,38,3169260.9172045,71925.04459549999
39,1575750.68841,2148.0,12,1,2073867.9652505,-498117.27684050007
40,2029190.4241,2149.0,12,2,2019759.7244375001,9430.699662499828
41,1407838.06114,2150.0,12,3,1899737.0195485004,-491898.95840850053
42,1651834.92389,2151.0,12,4,1865047.3956929997,-213212.47180299973
43,1343317.61662,2152.0,12,5,1759489.17724615,-416171.5606261501
44,1346550.66145,2153.0,12,6,1755729.2290514999,-409178.56760149985
45,1217136.68271,2154.0,12,7,1529888.8995565001,-312752.21684650006
46,1133808.5225,2155.0,12,8,1455106.9714255,-321298.44892550004
47,1463627.41735,2156.0,12,9,1473676.8979395,-10049.48058949993
48,1978852.84035,2157.0,12,10,1415624.6441066503,563228.1962433497
49,1590060.97658,2158.0,12,11,1328170.046852,261890.92972799996
50,1371318.40071,2159.0,12,12,1270635.4174992,100682.98321079998
51,1195059.13415,2160.0,12,13,1174200.9805596499,20858.15359035018
52,1042934.42971,2161.0,12,14,1251920.22651495,-208985.79680494987
53,1006021.6367,2162.0,12,15,1087275.9240179502,-81254.28731795016
54,991176.965594,2163.0,12,16,1080801.8108928003,-89624.84529880038
55,1152235.625,2164.0,12,17,1034988.2214387499,117247.40356125007
56,975465.129149,2165.0,12,18,980801.9925188497,-5336.863369849627
57,855413.2222299998,2166.0,12,19,925304.3007415,-69891.07851150015
58,907647.647812,2167.0,12,20,960194.2393971499,-52546.59158514987
59,835780.432762,2168.0,12,21,892490.1613327998,-56709.72857079981
60,782919.242725,2169.0,12,22,926787.5689075,-143868.3261825
61,915999.092686,2170.0,12,23,935837.3649176,-19838.272231599898
62,869229.0039099999,2171.0,12,24,974842.95839575,-105613.95448575018
63,809907.2370619999,2172.0,12,25,935901.5119566001,-125994.27489460027
64,864621.830437,2173.0,12,26,1020844.3217242,-156222.4912872
65,913130.339085,2174.0,12,27,1092906.8391834998,-179776.50009849982
66,1118616.27358,2175.0,12,28,1098851.678845,19764.59473500005
67,974983.04158,2176.0,12,29,1230456.7148193,-255473.67323930003
68,1056821.8634,2177.0,12,30,1101099.6889381001,-44277.82553810021
69,1293026.6396,2178.0,12,31,1218153.2008375502,74873.43876244989
70,1271812.90949,2179.0,12,32,1212207.30595765,59605.60353234992
71,1230009.25235,2180.0,12,33,1440748.0452584503,-210738.79290845036
72,1338989.57811,2181.0,12,34,1521401.672348,-182412.09423800022
73,1423938.19359,2182.0,12,35,1596888.9093850001,-172950.71579500008
74,1554035.8204,2183.0,12,36,1774368.9043595002,-220333.08395950007
75,2005441.00328,2184.0,12,37,2288640.0569995,-283199.05371949985
76,2782073.26874,2185.0,12,38,3136699.622936,-354626.3541959999
77,1728363.99098,2375.0,13,1,2080753.7467035,-352389.7557234999
78,2055963.3738,2376.0,13,2,1985658.588498,70304.78530199989
79,1641638.02655,2377.0,13,3,1850382.2688975,-208744.24234749982
80,2184391.12818,2378.0,13,4,1849614.5792675,334776.54891250003
81,1354631.40472,2379.0,13,5,1752673.8576156502,-398042.4528956502
82,1397377.60826,2380.0,13,6,1708423.3750194996,-311045.7667594997
83,1864227.05312,2381.0,13,7,1456481.2912095,407745.7619105
84,1397142.6119,2382.0,13,8,1439518.8881855,-42376.27628550003
85,1681058.59855,2383.0,13,9,1440465.0569205,240593.5416295
86,1204882.09587,2384.0,13,10,1445403.06104515,-240520.96517514996
